outcde,prop_typ,year,N,avg_price,median,sd,q25,q20,q15,q10,q05,scottish
B18,D,2016,3,221500,209500,23879.907872519107,207750,207400,207050,206700,206350,FALSE
B18,F,2015,82,153776.15853658537,142750,80258.30328298402,119962.5,112e3,82975,65600,54406.25,FALSE
B18,F,2016,209,178202.6985645933,182500,52308.262439158614,162500,152400,137500,125300,63100,FALSE
B18,O,2015,10,2343800,227500,4678695.387321745,141250,125e3,125e3,112799.99999999999,57899.99999999999,FALSE
B18,O,2016,16,225718.625,199e3,223698.91778217585,82500,75e3,63750,49e3,31875,FALSE
B18,S,2015,8,120125,112500,39267.170948334366,96875,96e3,95125,84500,72250,FALSE
B18,S,2016,13,123384.61538461539,12e4,33562.226936290695,11e4,107600,100800,85200,8e4,FALSE
B18,T,2015,64,113919.515625,96500,58008.30755035778,78750,74600,71350,66600,60600,FALSE
B18,T,2016,76,116645.3947368421,110500,49245.26452877243,85e3,8e4,77e3,75e3,62250,FALSE
B19,D,2015,6,169415.83333333334,168997.5,8237.020345165276,162623.75,161500,161125,160750,160375,FALSE
B19,D,2016,8,151496.875,169995,32470.657186527653,127500,127500,127500,116250.00000000001,103125,FALSE
B19,F,2015,22,94352.27272727272,99995,22743.54449107078,78600,73860,72142.5,61650,57175,FALSE
B19,F,2016,26,88671.38461538461,98500,18591.133280307415,84e3,83e3,73750,67500,54218.75,FALSE
B19,O,2015,5,27e4,28e4,123288.28005937953,2e5,184e3,168e3,152e3,136e3,FALSE
B19,O,2016,13,484146.1538461539,275e3,590318.482707124,207900,203160,2e5,2e5,162e3,FALSE
B19,S,2015,20,146648,136500,31659.86345018264,129245,126995,126995,126995,126645.00000000001,FALSE
B19,S,2016,9,159387.22222222222,169500,32591.161772702188,144e3,138398,132796,124396,113198,FALSE
B19,T,2015,75,108697.41333333333,108e3,31796.83308091382,84e3,79560,75200,72410,64450,FALSE
B19,T,2016,62,109772.08064516129,11e4,32658.74658346866,85e3,80200,78725,71410,62125,FALSE
B2,D,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B2,D,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B2,F,2015,31,134709.67741935485,125e3,33246.737733084025,111825,11e4,106250,104950,101500,FALSE
B2,F,2016,27,154369,142e3,46657.502550294834,134750,133300,124495,113970,105e3,FALSE
B2,O,2015,4,18923750,1471e4,14892657.796713118,1235e4,11060000.000000002,977e4,848e4,719e4,FALSE
B2,O,2016,5,5914624,3375e3,6517508.776126044,1476e3,1283224,1090448,897672,704896,FALSE
B2,S,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B2,S,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B2,T,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B2,T,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B20,D,2015,46,258123.91304347827,232500,99221.17926863668,184125,179950,174312.5,163e3,145375,FALSE
B20,D,2016,46,252858.26086956522,217500,105020.98371921993,184995,18e4,170750,162500,151e3,FALSE
B20,F,2015,26,62103.846153846156,59e3,14161.19290933446,50250,5e4,49750,48e3,45500,FALSE
B20,F,2016,25,71971.4,67e3,18589.092485021065,59900,59900,59140,53800,50200,FALSE
B20,O,2015,3,585e3,531e3,440489.5004424055,352500,316799.99999999994,281100,245399.99999999997,209700,FALSE
B20,O,2016,18,262912.55555555556,135e3,317018.3237513942,59900,59900,59900,50030,23850.000000000004,FALSE
B20,S,2015,75,169958.66666666666,165e3,52174.353861843854,14e4,136600,132300,123200,1e5,FALSE
B20,S,2016,92,175208.04347826086,171577.5,54052.47002598657,15e4,146195,139125,125955,81e3,FALSE
B20,T,2015,98,122583.67346938775,115e3,47940.107487928464,89500,85e3,82650,76400,67550,FALSE
B20,T,2016,98,141315.25510204083,124997.5,52499.10408844032,105375,100400,96825,92100,82e3,FALSE
B21,D,2015,5,163400,155e3,51335.173127203925,135e3,131400,127800,124200,120600,FALSE
B21,D,2016,4,171750,178500,31073.836797752116,157750,152200,146650,141100,135550,FALSE
B21,F,2015,2,6e4,6e4,0,6e4,6e4,6e4,6e4,6e4,FALSE
B21,F,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
B21,O,2015,6,276016.6666666667,222500,174735.6908781565,182500,17e4,147125,124250,101375,FALSE
B21,O,2016,9,528700,48e4,457667.2617743157,82500,78300,74100,71900,71700,FALSE
B21,S,2015,35,129184.28571428571,13e4,26350.2784097039,116500,108600,106550,1e5,91100,FALSE
B21,S,2016,36,140493.88888888888,132500,34224.13519957415,118750,115e3,106625,105e3,101125,FALSE
B21,T,2015,161,99772.9751552795,96e3,26993.1807957932,82e3,8e4,78e3,71500,67e3,FALSE
B21,T,2016,157,104380.13375796178,98e3,33495.05483613341,89e3,85e3,82550,77500,68565.6,FALSE
B23,D,2015,31,194432.09677419355,205e3,43143.71606955435,168500,158950,155e3,145e3,139e3,FALSE
B23,D,2016,33,223407.42424242425,21e4,62911.943596302874,18e4,177e3,172e3,17e4,154e3,FALSE
B23,F,2015,123,77409.23577235773,75e3,28933.555984693026,64475,56400,48950,42960,4e4,FALSE
B23,F,2016,145,86996.20689655172,86e3,36219.516700617925,65500,59500,50300,45e3,4e4,FALSE
B23,O,2015,4,295053.75,330107.5,140632.2446059817,242500,214000.00000000003,185500,157e3,128499.99999999999,FALSE
B23,O,2016,37,494331.64864864864,35e4,388982.8445670992,15e4,134799.99999999997,109199.99999999999,84599.99999999999,55176.799999999996,FALSE
B23,S,2015,225,144152.53333333333,14e4,31789.189709598722,122500,119600,114400,105460,97100,FALSE
B23,S,2016,203,148052.78325123154,146e3,29920.457723081843,125e3,121400,12e4,115e3,105300,FALSE
B23,T,2015,281,118298.76512455515,115e3,24366.58751288756,103e3,1e5,96e3,9e4,85e3,FALSE
B23,T,2016,295,124656.38983050847,122e3,31543.891294413468,108e3,104900,98550,90200,8e4,FALSE
B24,D,2015,50,194702.3,184e3,60754.108185692065,160995,157996,134381.75,127740,118350,FALSE
