year,outcode,property_type,n_i,avg_price,sd
2015.0,ST12,S,21,182107.14285714287,56182.54685779714
2015.0,ST12,T,4,134625.0,12918.81702530589
2015.0,ST13,D,156,248767.14743589744,98871.63769432958
2015.0,ST13,F,23,80900.0,29256.84457602109
2015.0,ST13,O,6,656432.8333333334,1097645.1485193959
2015.0,ST13,S,141,142381.914893617,37892.56583543406
2015.0,ST13,T,202,110016.33663366336,35655.78502036454
2015.0,ST14,D,131,290157.5267175573,131256.4005508847
2015.0,ST14,F,13,94288.46153846153,27512.846649687683
2015.0,ST14,O,6,321833.1666666667,276279.2091348291
2015.0,ST14,S,103,162439.9708737864,69585.57447340115
2015.0,ST14,T,81,126869.07407407407,46704.81727771177
2015.0,ST15,D,219,287245.5753424658,97737.67845835572
2015.0,ST15,F,48,121183.60416666667,48927.440624602714
2015.0,ST15,O,12,1315848.25,2685300.9105658606
2015.0,ST15,S,103,163715.63106796116,41222.566776071246
2015.0,ST15,T,92,146676.30434782608,57812.013204933915
2015.0,ST16,D,175,238634.94857142857,74605.11898943913
2015.0,ST16,F,50,104397.1,26826.491173153183
2015.0,ST16,O,11,992334.2727272727,1068497.0963928814
2015.0,ST16,S,185,147355.54054054053,39787.110254066836
2015.0,ST16,T,203,123683.24630541872,32934.40570012191
2015.0,ST17,D,212,273247.07547169813,117015.94684710747
2015.0,ST17,F,24,102329.16666666667,39274.870040099006
2015.0,ST17,O,8,694790.75,651325.0865550387
2015.0,ST17,S,243,160722.46913580247,53037.38955861448
2015.0,ST17,T,130,138926.37692307692,45401.60517724876
2015.0,ST18,D,159,285990.59748427675,114536.0540126397
2015.0,ST18,F,5,109700.0,19613.77067266771
2015.0,ST18,O,5,776224.6,993168.7848627744
2015.0,ST18,S,71,193452.91549295775,67333.83562895434
2015.0,ST18,T,40,251884.625,129961.06543385185
2015.0,ST19,D,94,309211.1170212766,122378.74437285456
2015.0,ST19,F,6,106533.33333333333,39868.4294482071
2015.0,ST19,O,5,64e4,257573.29054077016
2015.0,ST19,S,68,206742.64705882352,84883.15070428004
2015.0,ST19,T,40,161634.875,47434.71691254959
2015.0,ST2,D,72,198202.55555555556,89593.34856361794
2015.0,ST2,F,2,64500.0,27577.164466275353
2015.0,ST2,O,6,958472.0,1415891.0596172293
2015.0,ST2,S,202,99057.67326732674,35628.888762630246
2015.0,ST2,T,70,91268.57142857143,30430.590029176394
2015.0,ST20,D,68,281092.35294117645,102476.80501106851
2015.0,ST20,F,3,119166.66666666667,29825.883613622133
2015.0,ST20,S,32,180670.3125,78159.85981944932
2015.0,ST20,T,21,175708.57142857142,50394.82605245446
2015.0,ST21,D,46,323315.2173913043,118224.52080190716
2015.0,ST21,F,7,188392.85714285713,123778.85666438697
2015.0,ST21,O,2,1962500.0,2527906.7427419075
2015.0,ST21,S,28,208387.5,61648.5433203293
2015.0,ST21,T,18,243216.66666666666,118874.93675386455
2015.0,ST3,D,233,182961.70815450643,56224.63715573244
2015.0,ST3,F,18,57129.61111111111,19022.94049496984
2015.0,ST3,O,7,530999.8571428572,613468.6710285018
2015.0,ST3,S,479,110196.75365344467,36871.11958951577
2015.0,ST3,T,183,79213.9344262295,31679.01270516016
2015.0,ST4,D,160,210938.7875,78142.1985193587
2015.0,ST4,F,54,72376.29629629629,27121.406312420124
2015.0,ST4,O,32,1631992.78125,3415877.589807517
2015.0,ST4,S,319,134359.8526645768,52423.56467481083
