year,outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
2015.0,CO7,F,54,138766.2037037037,83948.74126139602,61300.0,64300.0,70900.0,72600.0,78318.75,116500.0,163250.0
2015.0,CO7,O,9,676410.7777777778,407394.4291413967,185400.0,195800.0,240800.00000000006,320400.0,4e5,63e4,93e4
2015.0,CO7,S,230,215300.76086956522,67603.1216170241,145225.0,155e3,162175.0,168e3,172e3,195e3,241500.0
2015.0,CO7,T,108,197829.07407407407,91608.58386592218,120875.0,127100.0,135100.0,143500.0,15e4,18e4,210500.0
2015.0,CO8,D,14,420857.14285714284,174430.10817333867,236350.0,25e4,25e4,263500.0,280250.0,362500.0,567750.0
2015.0,CO8,F,1,153250.0,NA,153250.0,153250.0,153250.0,153250.0,153250.0,153250.0,153250.0
2015.0,CO8,S,6,262833.3333333333,50260.98553218656,215e3,22e4,225e3,23e4,231750.0,243500.0,298750.0
2015.0,CO8,T,10,199450.0,53851.36436938664,130375.0,138250.0,145250.0,152e3,158750.0,193750.0,244e3
2015.0,CO9,D,187,367522.7807486631,157499.27920988863,213950.0,236797.0,247500.0,25e4,258997.5,324995.0,437500.0
2015.0,CO9,F,56,133392.23214285713,55636.16789561236,85e3,88250.0,9e4,91e3,94500.0,117e3,153748.75
2015.0,CO9,O,10,715810.0,1227379.7768236022,88250.0,126499.99999999999,159149.99999999997,190200.0,224250.0,312550.0,446e3
2015.0,CO9,S,165,230277.15757575756,66681.28970259834,156500.0,164400.0,171500.0,18e4,186e3,217500.0,255e3
2015.0,CO9,T,159,199914.46540880503,56067.32641782363,135e3,145e3,152365.0,157900.0,16e4,18e4,224997.5
2015.0,CR0,D,115,544635.4695652174,249647.939787365,314200.0,342200.0,375040.80000000005,399200.0,42e4,499500.0,587500.0
2015.0,CR0,F,1413,240393.35598018402,74055.15702700634,133e3,16e4,173e3,185e3,195e3,237500.0,276e3
2015.0,CR0,O,55,2465613.4363636365,5527778.610078307,135e3,174e3,2e5,240677.60000000003,255e3,5e5,152e4
2015.0,CR0,S,402,381530.592039801,103777.22275156362,25e4,265200.0,275e3,29e4,3e5,375e3,45e4
2015.0,CR0,T,721,314815.5963938974,68174.78539009478,23e4,25e4,254e3,262500.0,268e3,303500.0,355e3
2015.0,CR2,D,173,587205.0462427746,186660.10244752033,362800.0,391e3,412e3,432e3,462500.0,565e3,675e3
2015.0,CR2,F,339,235898.9646017699,59167.38649365767,14e4,16e4,17e4,19e4,199975.0,237500.0,272e3
2015.0,CR2,O,8,770516.625,419146.2000267201,278250.0,311500.0,355499.99999999994,464000.0000000001,572500.0,758941.5,893437.5
2015.0,CR2,S,258,429429.4534883721,101389.78603466632,295e3,313500.0,329550.0,345e3,355e3,41e4,507500.0
2015.0,CR2,T,132,325134.8484848485,49596.94952582209,250550.0,269550.0,276007.5,284200.0,293625.0,32e4,356625.0
2015.0,CR3,D,215,647674.9069767442,290866.23089407274,327850.0,38e4,405610.0,44e4,468750.0,6e5,75e4
2015.0,CR3,F,269,229900.65055762083,69759.99160798464,120200.0,137300.0,159960.0,174e3,182750.0,225e3,267e3
2015.0,CR3,O,3,290666.6666666667,311771.2836893952,95800.0,99600.0,103400.0,107200.0,111e3,13e4,39e4
2015.0,CR3,S,161,396978.9689440994,83668.89717387685,280500.0,3e5,32e4,331e3,339950.0,382500.0,457500.0
2015.0,CR3,T,77,346911.012987013,105248.22668183481,244800.0,263500.0,269380.0,272100.0,285e3,318e3,383e3
2015.0,CR4,D,9,415694.44444444444,115911.85887465431,277300.0,277600.0,279700.0,283600.0,287500.0,42e4,495e3
2015.0,CR4,F,318,231525.20125786163,64244.11487937584,13e4,155e3,17e4,180320.0,193250.0,225e3,265750.0
2015.0,CR4,O,21,2745323.1428571427,5281461.672750966,9e4,2e5,22e4,264e3,504500.0,1e6,165e4
2015.0,CR4,S,49,364250.8163265306,96924.17725634677,270800.0,276e3,295990.0,3e5,305e3,357e3,39e4
2015.0,CR4,T,338,349286.10059171595,73058.06705214955,230850.0,258500.0,277750.0,299970.0,306375.0,345e3,387750.0
2015.0,CR5,D,154,635465.2337662338,256002.244431894,370650.0,416050.0,444975.0,45e4,465e3,565e3,726575.0
2015.0,CR5,F,102,259041.22549019608,110364.01990980406,120875.00000000001,154e3,162600.0,192e3,2e5,24e4,279887.5
2015.0,CR5,O,8,896787.5,904477.744237761,154875.00000000003,222250.00000000006,293499.99999999994,388000.0000000001,482500.0,65e4,939200.0
2015.0,CR5,S,184,415496.6195652174,77831.14013249725,297250.0,327550.0,34e4,35e4,36e4,41e4,455375.0
2015.0,CR5,T,96,333314.75,98599.06065795748,227500.0,275e3,285e3,287500.0,295e3,32e4,351437.5
2015.0,CR6,D,71,797067.5492957747,416402.1198251514,43e4,465e3,477500.0,509500.0,525e3,66e4,862750.0
2015.0,CR6,F,77,273931.16883116885,90514.38350331002,17e4,179400.0,182200.0,2e5,22e4,262e3,320750.0
2015.0,CR6,O,1,1500.0,NA,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
2015.0,CR6,S,50,414763.0,118979.88674561764,263750.0,325e3,332400.0,347960.0,352e3,385e3,434987.5
2015.0,CR6,T,25,349180.0,74683.90054087962,27e4,27e4,276e3,284e3,31e4,34e4,39e4
2015.0,CR7,D,15,446166.6666666667,210398.4032620925,285e3,306e3,316100.0,323800.0,330500.0,377500.0,48e4
2015.0,CR7,F,205,197039.40975609756,46128.20723530279,117000.00000000001,138500.0,15e4,16e4,17e4,198e3,226500.0
2015.0,CR7,O,9,271844.44444444444,213205.8108443055,32359.999999999993,54120.0,65e3,65e3,65e3,33e4,41e4
2015.0,CR7,S,53,373210.4716981132,124415.68140567571,178400.0,230400.0,249800.0,276e3,3e5,365e3,455e3
