outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
CV10,T,647,116289.87171561051,30428.692547786675,75825.0,82e3,87e3,9e4,93750.0,11e4,137475.0
CV11,D,566,273307.00530035334,91895.70931415776,175e3,187e3,195e3,21e4,217371.25,25e4,308500.0
CV11,F,109,82104.58715596331,27847.41787790872,55160.0,6e4,63550.0,65e3,65e3,72500.0,88500.0
CV11,O,45,462108.13333333336,857422.9356339633,82400.0,92e3,102500.0,109600.0,135e3,187500.0,41e4
CV11,S,334,174657.76946107784,52342.72513888353,105e3,119e3,126900.0,134570.0,139962.5,164975.0,199998.75
CV11,T,386,113238.95336787564,32082.19472174641,75e3,80500.0,86e3,9e4,93e3,107e3,128500.0
CV12,D,204,238935.05392156861,76108.03272307971,157e3,165e3,175e3,182300.0,19e4,225e3,272250.0
CV12,F,70,100725.0,38914.78776148907,67225.0,73800.0,75175.0,77670.0,79e3,89e3,107875.0
CV12,O,10,1012362.8,981586.9909773435,2300.0,4100.0,74674.99999999993,164899.99999999997,225750.0,678125.0,1666875.0
CV12,S,474,146159.388185654,31999.103533643178,99950.0,107500.0,113975.0,119950.0,123e3,145e3,165750.0
CV12,T,263,123004.80988593157,61387.665213964065,78e3,84960.0,91965.0,94380.0,98e3,118e3,132750.0
CV13,D,195,379528.22564102564,161204.57624292234,19e4,214e3,241150.0,25e4,274e3,339995.0,45e4
CV13,F,10,196200.0,49669.57485892814,14e4,14e4,144550.0,150400.0,154250.0,191e3,238750.0
CV13,O,13,694816.9230769231,648912.5408890455,115548.00000000001,175e3,212500.0,245e3,275e3,41e4,895e3
CV13,S,122,188942.39344262294,62904.273835352506,111470.90000000001,126850.00000000001,135e3,140714.2,148e3,175e3,214250.0
CV13,T,67,162098.0,57892.57895839972,96500.0,104600.0,111800.0,115e3,122e3,146500.0,191500.0
CV2,D,87,195861.32183908045,58290.1165206267,125e3,131797.0,143532.0,150999.0,158500.0,195e3,23e4
CV2,F,181,91019.6408839779,23765.523909139367,55e3,64e3,67e3,71500.0,75e3,87500.0,11e4
CV2,O,23,1122205.5652173914,3490657.743930685,42000.00000000001,65000.00000000001,88600.0,103200.0,116750.0,165e3,65e4
CV2,S,444,147742.15765765766,34818.48577979319,95075.0,109300.0,115e3,12e4,126e3,144250.0,165e3
CV2,T,1127,130508.03194321207,31104.467405071442,82150.0,94570.0,101500.0,107e3,112e3,13e4,148e3
CV21,D,249,255908.69477911646,66908.36456974868,171600.0,189990.0,2e5,215e3,220995.0,240995.0,285e3
CV21,F,208,102881.19711538461,25067.48385702703,60350.0,67e3,76147.5,82400.0,85375.0,1e5,12e4
